"x","y","richness"
-158.224125,21.565875,9
-158.224125,21.568125,9
-158.224125,21.570375,9
-158.224125,21.572625,9
-158.224125,21.574875,9
-158.224125,21.577125,9
-158.224125,21.579375,5
-158.224125,21.581625,5
-158.221875,21.471375,4
-158.221875,21.473625,4
-158.221875,21.475875,4
-158.221875,21.478125,7
-158.221875,21.480375,8
-158.221875,21.482625,8
-158.221875,21.484875,8
-158.221875,21.487125,8
-158.221875,21.489375,8
-158.221875,21.491625,8
-158.221875,21.493875,9
-158.221875,21.496125,9
-158.221875,21.498375,9
-158.221875,21.500625,9
-158.221875,21.502875,9
-158.221875,21.505125,9
-158.221875,21.507375,9
-158.221875,21.509625,9
-158.221875,21.511875,9
-158.221875,21.514125,9
-158.221875,21.516375,9
-158.221875,21.518625,9
-158.221875,21.520875,9
-158.221875,21.523125,9
-158.221875,21.525375,9
-158.221875,21.527625,9
-158.221875,21.529875,9
-158.221875,21.532125,9
-158.221875,21.534375,9
-158.221875,21.536625,9
-158.221875,21.538875,9
-158.221875,21.541125,9
-158.221875,21.543375,9
-158.221875,21.545625,9
-158.221875,21.547875,9
-158.221875,21.550125,9
-158.221875,21.552375,9
-158.221875,21.554625,9
-158.221875,21.556875,9
-158.221875,21.559125,9
-158.221875,21.561375,9
-158.221875,21.563625,9
-158.221875,21.565875,9
-158.221875,21.568125,9
-158.221875,21.570375,9
-158.221875,21.572625,9
-158.221875,21.574875,9
-158.221875,21.577125,9
-158.221875,21.579375,5
-158.221875,21.581625,5
-158.219625,21.464625,4
-158.219625,21.466875,4
-158.219625,21.469125,4
-158.219625,21.471375,4
-158.219625,21.473625,7
-158.219625,21.475875,7
-158.219625,21.478125,8
-158.219625,21.480375,8
-158.219625,21.482625,8
-158.219625,21.484875,8
-158.219625,21.487125,8
-158.219625,21.489375,8
-158.219625,21.491625,8
-158.219625,21.493875,9
-158.219625,21.496125,9
-158.219625,21.498375,9
-158.219625,21.500625,9
-158.219625,21.502875,9
-158.219625,21.505125,9
-158.219625,21.507375,9
-158.219625,21.509625,9
-158.219625,21.511875,9
-158.219625,21.514125,9
-158.219625,21.516375,9
-158.219625,21.518625,9
-158.219625,21.520875,9
-158.219625,21.523125,9
-158.219625,21.525375,9
-158.219625,21.527625,9
-158.219625,21.529875,9
-158.219625,21.532125,9
-158.219625,21.534375,9
-158.219625,21.536625,9
-158.219625,21.538875,9
-158.219625,21.541125,9
-158.219625,21.543375,9
-158.219625,21.545625,9
-158.219625,21.547875,9
-158.219625,21.550125,9
-158.219625,21.552375,9
-158.219625,21.554625,9
-158.219625,21.556875,9
-158.219625,21.559125,9
-158.219625,21.561375,9
-158.219625,21.563625,9
-158.219625,21.565875,9
-158.219625,21.568125,9
-158.219625,21.570375,9
-158.219625,21.572625,9
-158.219625,21.574875,9
-158.219625,21.577125,9
-158.219625,21.579375,5
-158.219625,21.581625,5
-158.217375,21.462375,4
-158.217375,21.464625,4
-158.217375,21.466875,7
-158.217375,21.469125,8
-158.217375,21.471375,8
-158.217375,21.473625,8
-158.217375,21.475875,8
-158.217375,21.478125,8
-158.217375,21.480375,8
-158.217375,21.482625,8
-158.217375,21.484875,8
-158.217375,21.487125,8
-158.217375,21.489375,8
-158.217375,21.491625,9
-158.217375,21.493875,9
-158.217375,21.496125,9
-158.217375,21.498375,9
-158.217375,21.500625,9
-158.217375,21.502875,9
-158.217375,21.505125,9
-158.217375,21.507375,9
-158.217375,21.509625,9
-158.217375,21.511875,9
-158.217375,21.514125,9
-158.217375,21.516375,9
-158.217375,21.518625,9
-158.217375,21.520875,9
-158.217375,21.523125,9
-158.217375,21.525375,9
-158.217375,21.527625,9
-158.217375,21.529875,9
-158.217375,21.532125,9
-158.217375,21.534375,9
-158.217375,21.536625,9
-158.217375,21.538875,9
-158.217375,21.541125,9
-158.217375,21.543375,9
-158.217375,21.545625,9
-158.217375,21.547875,9
-158.217375,21.550125,9
-158.217375,21.552375,9
-158.217375,21.554625,9
-158.217375,21.556875,9
-158.217375,21.559125,9
-158.217375,21.561375,9
-158.217375,21.563625,9
-158.217375,21.565875,9
-158.217375,21.568125,9
-158.217375,21.570375,9
-158.217375,21.572625,9
-158.217375,21.574875,9
-158.217375,21.577125,9
-158.217375,21.579375,8
-158.217375,21.581625,5
-158.215125,21.462375,4
-158.215125,21.464625,4
-158.215125,21.466875,8
-158.215125,21.469125,8
-158.215125,21.471375,8
-158.215125,21.473625,8
-158.215125,21.475875,8
-158.215125,21.478125,8
-158.215125,21.480375,8
-158.215125,21.482625,8
-158.215125,21.484875,8
-158.215125,21.487125,8
-158.215125,21.489375,9
-158.215125,21.491625,9
-158.215125,21.493875,9
-158.215125,21.496125,9
-158.215125,21.498375,9
-158.215125,21.500625,9
-158.215125,21.502875,9
-158.215125,21.505125,9
-158.215125,21.507375,9
-158.215125,21.509625,9
-158.215125,21.511875,9
-158.215125,21.514125,9
-158.215125,21.516375,9
-158.215125,21.518625,9
-158.215125,21.520875,9
-158.215125,21.523125,9
-158.215125,21.525375,9
-158.215125,21.527625,9
-158.215125,21.529875,9
-158.215125,21.532125,9
-158.215125,21.534375,9
-158.215125,21.536625,9
-158.215125,21.538875,9
-158.215125,21.541125,9
-158.215125,21.543375,9
-158.215125,21.545625,9
-158.215125,21.547875,9
-158.215125,21.550125,9
-158.215125,21.552375,9
-158.215125,21.554625,9
-158.215125,21.556875,9
-158.215125,21.559125,9
-158.215125,21.561375,9
-158.215125,21.563625,9
-158.215125,21.565875,9
-158.215125,21.568125,9
-158.215125,21.570375,9
-158.215125,21.572625,9
-158.215125,21.574875,9
-158.215125,21.577125,9
-158.215125,21.579375,8
-158.215125,21.581625,5
-158.212875,21.460125,7
-158.212875,21.462375,7
-158.212875,21.464625,8
-158.212875,21.466875,8
-158.212875,21.469125,8
-158.212875,21.471375,8
-158.212875,21.473625,8
-158.212875,21.475875,8
-158.212875,21.478125,8
-158.212875,21.480375,8
-158.212875,21.482625,8
-158.212875,21.484875,8
-158.212875,21.487125,8
-158.212875,21.489375,9
-158.212875,21.491625,9
-158.212875,21.493875,9
-158.212875,21.496125,9
-158.212875,21.498375,9
-158.212875,21.500625,9
-158.212875,21.502875,9
-158.212875,21.505125,9
-158.212875,21.507375,9
-158.212875,21.509625,9
-158.212875,21.511875,9
-158.212875,21.514125,9
-158.212875,21.516375,9
-158.212875,21.518625,9
-158.212875,21.520875,9
-158.212875,21.523125,9
-158.212875,21.525375,9
-158.212875,21.527625,9
-158.212875,21.529875,9
-158.212875,21.532125,9
-158.212875,21.534375,9
-158.212875,21.536625,9
-158.212875,21.538875,9
-158.212875,21.541125,9
-158.212875,21.543375,9
-158.212875,21.545625,9
-158.212875,21.547875,9
-158.212875,21.550125,9
-158.212875,21.552375,9
-158.212875,21.554625,9
-158.212875,21.556875,9
-158.212875,21.559125,9
-158.212875,21.561375,9
-158.212875,21.563625,9
-158.212875,21.565875,9
-158.212875,21.568125,9
-158.212875,21.570375,9
-158.212875,21.572625,9
-158.212875,21.574875,9
-158.212875,21.577125,9
-158.212875,21.579375,9
-158.212875,21.581625,5
-158.210625,21.460125,7
-158.210625,21.462375,8
-158.210625,21.464625,8
-158.210625,21.466875,8
-158.210625,21.469125,8
-158.210625,21.471375,8
-158.210625,21.473625,8
-158.210625,21.475875,8
-158.210625,21.478125,8
-158.210625,21.480375,8
-158.210625,21.482625,8
-158.210625,21.484875,8
-158.210625,21.487125,8
-158.210625,21.489375,9
-158.210625,21.491625,9
-158.210625,21.493875,9
-158.210625,21.496125,9
-158.210625,21.498375,9
-158.210625,21.500625,9
-158.210625,21.502875,9
-158.210625,21.505125,9
-158.210625,21.507375,9
-158.210625,21.509625,9
-158.210625,21.511875,9
-158.210625,21.514125,9
-158.210625,21.516375,9
-158.210625,21.518625,9
-158.210625,21.520875,9
-158.210625,21.523125,9
-158.210625,21.525375,9
-158.210625,21.527625,9
-158.210625,21.529875,9
-158.210625,21.532125,9
-158.210625,21.534375,9
-158.210625,21.536625,9
-158.210625,21.538875,9
-158.210625,21.541125,9
-158.210625,21.543375,9
-158.210625,21.545625,9
-158.210625,21.547875,9
-158.210625,21.550125,9
-158.210625,21.552375,9
-158.210625,21.554625,9
-158.210625,21.556875,9
-158.210625,21.559125,9
-158.210625,21.561375,9
-158.210625,21.563625,9
-158.210625,21.565875,9
-158.210625,21.568125,9
-158.210625,21.570375,9
-158.210625,21.572625,9
-158.210625,21.574875,9
-158.210625,21.577125,9
-158.210625,21.579375,9
-158.210625,21.581625,5
-158.208375,21.457875,4
-158.208375,21.460125,4
-158.208375,21.462375,8
-158.208375,21.464625,8
-158.208375,21.466875,8
-158.208375,21.469125,8
-158.208375,21.471375,8
-158.208375,21.473625,8
-158.208375,21.475875,8
-158.208375,21.478125,8
-158.208375,21.480375,8
-158.208375,21.482625,8
-158.208375,21.484875,8
-158.208375,21.487125,8
-158.208375,21.489375,9
-158.208375,21.491625,9
-158.208375,21.493875,9
-158.208375,21.496125,9
-158.208375,21.498375,9
-158.208375,21.500625,9
-158.208375,21.502875,9
-158.208375,21.505125,9
-158.208375,21.507375,9
-158.208375,21.509625,9
-158.208375,21.511875,9
-158.208375,21.514125,9
-158.208375,21.516375,9
-158.208375,21.518625,9
-158.208375,21.520875,9
-158.208375,21.523125,9
-158.208375,21.525375,9
-158.208375,21.527625,9
-158.208375,21.529875,9
-158.208375,21.532125,9
-158.208375,21.534375,9
-158.208375,21.536625,9
-158.208375,21.538875,9
-158.208375,21.541125,9
-158.208375,21.543375,9
-158.208375,21.545625,9
-158.208375,21.547875,9
-158.208375,21.550125,9
-158.208375,21.552375,9
-158.208375,21.554625,9
-158.208375,21.556875,9
-158.208375,21.559125,9
-158.208375,21.561375,9
-158.208375,21.563625,9
-158.208375,21.565875,9
-158.208375,21.568125,9
-158.208375,21.570375,9
-158.208375,21.572625,9
-158.208375,21.574875,9
-158.208375,21.577125,9
-158.208375,21.579375,9
-158.208375,21.581625,8
-158.206125,21.455625,4
-158.206125,21.457875,4
-158.206125,21.460125,8
-158.206125,21.462375,8
-158.206125,21.464625,8
-158.206125,21.466875,8
-158.206125,21.469125,8
-158.206125,21.471375,8
-158.206125,21.473625,8
-158.206125,21.475875,8
-158.206125,21.478125,8
-158.206125,21.480375,8
-158.206125,21.482625,8
-158.206125,21.484875,8
-158.206125,21.487125,8
-158.206125,21.489375,9
-158.206125,21.491625,9
-158.206125,21.493875,9
-158.206125,21.496125,9
-158.206125,21.498375,9
-158.206125,21.500625,9
-158.206125,21.502875,9
-158.206125,21.505125,9
-158.206125,21.507375,9
-158.206125,21.509625,9
-158.206125,21.511875,9
-158.206125,21.514125,9
-158.206125,21.516375,9
-158.206125,21.518625,9
-158.206125,21.520875,9
-158.206125,21.523125,9
-158.206125,21.525375,9
-158.206125,21.527625,9
-158.206125,21.529875,9
-158.206125,21.532125,9
-158.206125,21.534375,9
-158.206125,21.536625,9
-158.206125,21.538875,9
-158.206125,21.541125,9
-158.206125,21.543375,9
-158.206125,21.545625,9
-158.206125,21.547875,9
-158.206125,21.550125,9
-158.206125,21.552375,9
-158.206125,21.554625,9
-158.206125,21.556875,9
-158.206125,21.559125,9
-158.206125,21.561375,9
-158.206125,21.563625,9
-158.206125,21.565875,9
-158.206125,21.568125,9
-158.206125,21.570375,9
-158.206125,21.572625,9
-158.206125,21.574875,9
-158.206125,21.577125,9
-158.206125,21.579375,9
-158.206125,21.581625,8
-158.203875,21.453375,4
-158.203875,21.455625,4
-158.203875,21.457875,7
-158.203875,21.460125,8
-158.203875,21.462375,8
-158.203875,21.464625,8
-158.203875,21.466875,8
-158.203875,21.469125,8
-158.203875,21.471375,8
-158.203875,21.473625,8
-158.203875,21.475875,8
-158.203875,21.478125,8
-158.203875,21.480375,8
-158.203875,21.482625,8
-158.203875,21.484875,8
-158.203875,21.487125,8
-158.203875,21.489375,9
-158.203875,21.491625,9
-158.203875,21.493875,9
-158.203875,21.496125,9
-158.203875,21.498375,9
-158.203875,21.500625,9
-158.203875,21.502875,9
-158.203875,21.505125,9
-158.203875,21.507375,9
-158.203875,21.509625,9
-158.203875,21.511875,9
-158.203875,21.514125,9
-158.203875,21.516375,9
-158.203875,21.518625,9
-158.203875,21.520875,9
-158.203875,21.523125,9
-158.203875,21.525375,9
-158.203875,21.527625,9
-158.203875,21.529875,9
-158.203875,21.532125,9
-158.203875,21.534375,9
-158.203875,21.536625,9
-158.203875,21.538875,9
-158.203875,21.541125,9
-158.203875,21.543375,9
-158.203875,21.545625,9
-158.203875,21.547875,9
-158.203875,21.550125,9
-158.203875,21.552375,9
-158.203875,21.554625,9
-158.203875,21.556875,9
-158.203875,21.559125,9
-158.203875,21.561375,9
-158.203875,21.563625,9
-158.203875,21.565875,9
-158.203875,21.568125,9
-158.203875,21.570375,9
-158.203875,21.572625,9
-158.203875,21.574875,9
-158.203875,21.577125,9
-158.203875,21.579375,9
-158.203875,21.581625,8
-158.201625,21.451125,4
-158.201625,21.453375,7
-158.201625,21.455625,8
-158.201625,21.457875,8
-158.201625,21.460125,8
-158.201625,21.462375,8
-158.201625,21.464625,8
-158.201625,21.466875,8
-158.201625,21.469125,8
-158.201625,21.471375,8
-158.201625,21.473625,8
-158.201625,21.475875,8
-158.201625,21.478125,8
-158.201625,21.480375,8
-158.201625,21.482625,8
-158.201625,21.484875,8
-158.201625,21.487125,8
-158.201625,21.489375,9
-158.201625,21.491625,9
-158.201625,21.493875,9
-158.201625,21.496125,9
-158.201625,21.498375,9
-158.201625,21.500625,9
-158.201625,21.502875,9
-158.201625,21.505125,9
-158.201625,21.507375,9
-158.201625,21.509625,9
-158.201625,21.511875,9
-158.201625,21.514125,9
-158.201625,21.516375,9
-158.201625,21.518625,9
-158.201625,21.520875,9
-158.201625,21.523125,9
-158.201625,21.525375,9
-158.201625,21.527625,9
-158.201625,21.529875,9
-158.201625,21.532125,9
-158.201625,21.534375,9
-158.201625,21.536625,9
-158.201625,21.538875,9
-158.201625,21.541125,9
-158.201625,21.543375,9
-158.201625,21.545625,9
-158.201625,21.547875,9
-158.201625,21.550125,9
-158.201625,21.552375,9
-158.201625,21.554625,9
-158.201625,21.556875,9
-158.201625,21.559125,9
-158.201625,21.561375,9
-158.201625,21.563625,9
-158.201625,21.565875,9
-158.201625,21.568125,9
-158.201625,21.570375,9
-158.201625,21.572625,9
-158.201625,21.574875,9
-158.201625,21.577125,9
-158.201625,21.579375,9
-158.201625,21.581625,9
-158.199375,21.448875,4
-158.199375,21.451125,4
-158.199375,21.453375,8
-158.199375,21.455625,8
-158.199375,21.457875,8
-158.199375,21.460125,8
-158.199375,21.462375,8
-158.199375,21.464625,8
-158.199375,21.466875,8
-158.199375,21.469125,8
-158.199375,21.471375,8
-158.199375,21.473625,8
-158.199375,21.475875,8
-158.199375,21.478125,8
-158.199375,21.480375,8
-158.199375,21.482625,8
-158.199375,21.484875,8
-158.199375,21.487125,8
-158.199375,21.489375,9
-158.199375,21.491625,9
-158.199375,21.493875,9
-158.199375,21.496125,9
-158.199375,21.498375,9
-158.199375,21.500625,9
-158.199375,21.502875,9
-158.199375,21.505125,9
-158.199375,21.507375,9
-158.199375,21.509625,9
-158.199375,21.511875,9
-158.199375,21.514125,9
-158.199375,21.516375,9
-158.199375,21.518625,9
-158.199375,21.520875,9
-158.199375,21.523125,9
-158.199375,21.525375,9
-158.199375,21.527625,9
-158.199375,21.529875,9
-158.199375,21.532125,9
-158.199375,21.534375,9
-158.199375,21.536625,9
-158.199375,21.538875,9
-158.199375,21.541125,9
-158.199375,21.543375,9
